===2023-06-29 21:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.2360 | Train Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.2494 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2513 | Val  Acc: 0.1799
 Site-SynthDigits                   | Val  Loss: 2.3036 | Val  Acc: 0.1622
 Site-SynthDigits                   | Val  Loss: 2.3296 | Val  Acc: 0.1765
 Site-SynthDigits                   | Val  Loss: 2.2907 | Val  Acc: 0.0984
 Site-SVHN                          | Val  Loss: 2.3020 | Val  Acc: 0.0889
 Site-SVHN                          | Val  Loss: 2.2933 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.3096 | Val  Acc: 0.1429
Average Valid Accuracy: 0.2184
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2903
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3571
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4118
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3716
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3686
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1667
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1875
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1897
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1799
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1622
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1765
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.0984
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.0889
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1429
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 2.1336 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1465 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.2033 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1811 | Train Acc: 0.3684
 Site-USPS                          | Train Loss: 2.1988 | Train Acc: 0.4286
 Site-USPS                          | Train Loss: 2.1676 | Train Acc: 0.4286
 Site-USPS                          | Train Loss: 2.1711 | Train Acc: 0.4141
 Site-USPS                          | Train Loss: 2.1761 | Train Acc: 0.4132
 Site-USPS                          | Train Loss: 2.1640 | Train Acc: 0.4198
 Site-USPS                          | Train Loss: 2.1612 | Train Acc: 0.4370
 Site-MNIST                         | Train Loss: 2.2389 | Train Acc: 0.1500
 Site-MNIST                         | Train Loss: 2.1997 | Train Acc: 0.3889
 Site-MNIST                         | Train Loss: 2.2542 | Train Acc: 0.2326
 Site-MNIST                         | Train Loss: 2.2160 | Train Acc: 0.2747
 Site-MNIST                         | Train Loss: 2.2343 | Train Acc: 0.2357
 Site-MNIST                         | Train Loss: 2.2295 | Train Acc: 0.2460
 Site-SynthDigits                   | Train Loss: 2.2903 | Train Acc: 0.1589
 Site-SynthDigits                   | Train Loss: 2.2940 | Train Acc: 0.1319
 Site-SynthDigits                   | Train Loss: 2.2869 | Train Acc: 0.1874
 Site-SVHN                          | Train Loss: 2.2894 | Train Acc: 0.1050
 Site-SVHN                          | Train Loss: 2.2940 | Train Acc: 0.1254
 Site-MNIST_M                       | Train Loss: 2.3058 | Train Acc: 0.1135
Average Train Accuracy: 0.2997
 Site-USPS                          | Val  Loss: 2.3714 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3044 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2458 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2096 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.2335 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1978 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.1748 | Val  Acc: 0.3750
 Site-USPS                          | Val  Loss: 2.1561 | Val  Acc: 0.4510
 Site-USPS                          | Val  Loss: 2.1824 | Val  Acc: 0.4098
 Site-USPS                          | Val  Loss: 2.1797 | Val  Acc: 0.3988
 Site-MNIST                         | Val  Loss: 2.2245 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2169 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.2123 | Val  Acc: 0.2812
 Site-MNIST                         | Val  Loss: 2.2225 | Val  Acc: 0.2759
 Site-MNIST                         | Val  Loss: 2.2210 | Val  Acc: 0.3048
 Site-MNIST                         | Val  Loss: 2.2221 | Val  Acc: 0.2804
 Site-SynthDigits                   | Val  Loss: 2.3010 | Val  Acc: 0.1622
 Site-SynthDigits                   | Val  Loss: 2.3282 | Val  Acc: 0.2059
 Site-SynthDigits                   | Val  Loss: 2.2848 | Val  Acc: 0.1230
 Site-SVHN                          | Val  Loss: 2.2980 | Val  Acc: 0.1333
 Site-SVHN                          | Val  Loss: 2.2910 | Val  Acc: 0.1235
 Site-MNIST_M                       | Val  Loss: 2.3049 | Val  Acc: 0.1571
Average Valid Accuracy: 0.2220
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:2 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3750
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4510
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4098
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3988
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2222
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2812
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2759
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.3048
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2804
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.1622
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2059
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.1230
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.1333
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.1235
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.1571
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 3 ============
 Site-USPS                          | Train Loss: 2.0829 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0986 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1731 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1457 | Train Acc: 0.3684
 Site-USPS                          | Train Loss: 2.1054 | Train Acc: 0.4571
 Site-USPS                          | Train Loss: 2.1263 | Train Acc: 0.4444
 Site-USPS                          | Train Loss: 2.1217 | Train Acc: 0.4361
 Site-USPS                          | Train Loss: 2.1364 | Train Acc: 0.4156
 Site-USPS                          | Train Loss: 2.1301 | Train Acc: 0.4334
 Site-USPS                          | Train Loss: 2.1198 | Train Acc: 0.4513
 Site-MNIST                         | Train Loss: 2.2188 | Train Acc: 0.2000
 Site-MNIST                         | Train Loss: 2.1602 | Train Acc: 0.4444
 Site-MNIST                         | Train Loss: 2.1732 | Train Acc: 0.2791
 Site-MNIST                         | Train Loss: 2.1901 | Train Acc: 0.3176
 Site-MNIST                         | Train Loss: 2.2133 | Train Acc: 0.2929
 Site-MNIST                         | Train Loss: 2.2059 | Train Acc: 0.2738
 Site-SynthDigits                   | Train Loss: 2.2810 | Train Acc: 0.1589
 Site-SynthDigits                   | Train Loss: 2.2895 | Train Acc: 0.1465
 Site-SynthDigits                   | Train Loss: 2.2800 | Train Acc: 0.1955
 Site-SVHN                          | Train Loss: 2.2870 | Train Acc: 0.0884
 Site-SVHN                          | Train Loss: 2.2935 | Train Acc: 0.1376
 Site-MNIST_M                       | Train Loss: 2.3031 | Train Acc: 0.1277
Average Train Accuracy: 0.3183
 Site-USPS                          | Val  Loss: 2.3925 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3128 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2346 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1806 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.2031 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1624 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.1345 | Val  Acc: 0.3750
 Site-USPS                          | Val  Loss: 2.1145 | Val  Acc: 0.4510
 Site-USPS                          | Val  Loss: 2.1467 | Val  Acc: 0.3989
 Site-USPS                          | Val  Loss: 2.1433 | Val  Acc: 0.4048
 Site-MNIST                         | Val  Loss: 2.2098 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1977 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.1882 | Val  Acc: 0.2812
 Site-MNIST                         | Val  Loss: 2.1986 | Val  Acc: 0.2931
 Site-MNIST                         | Val  Loss: 2.1930 | Val  Acc: 0.3524
 Site-MNIST                         | Val  Loss: 2.1932 | Val  Acc: 0.3333
 Site-SynthDigits                   | Val  Loss: 2.2981 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.3263 | Val  Acc: 0.2206
 Site-SynthDigits                   | Val  Loss: 2.2789 | Val  Acc: 0.1475
 Site-SVHN                          | Val  Loss: 2.2946 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.2893 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.3004 | Val  Acc: 0.2000
Average Valid Accuracy: 0.2305
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3750
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4510
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3989
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4048
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2222
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2812
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2931
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3524
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3333
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1892
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2206
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1475
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.2000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 4 ============
 Site-USPS                          | Train Loss: 2.0336 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0537 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1433 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1103 | Train Acc: 0.4474
 Site-USPS                          | Train Loss: 1.9843 | Train Acc: 0.4857
 Site-USPS                          | Train Loss: 2.0852 | Train Acc: 0.4603
 Site-USPS                          | Train Loss: 2.0927 | Train Acc: 0.4537
 Site-USPS                          | Train Loss: 2.1001 | Train Acc: 0.4303
 Site-USPS                          | Train Loss: 2.0884 | Train Acc: 0.4457
 Site-USPS                          | Train Loss: 2.0788 | Train Acc: 0.4679
 Site-MNIST                         | Train Loss: 2.1990 | Train Acc: 0.2750
 Site-MNIST                         | Train Loss: 2.1036 | Train Acc: 0.4167
 Site-MNIST                         | Train Loss: 2.1283 | Train Acc: 0.2946
 Site-MNIST                         | Train Loss: 2.1621 | Train Acc: 0.3605
 Site-MNIST                         | Train Loss: 2.1905 | Train Acc: 0.3095
 Site-MNIST                         | Train Loss: 2.1826 | Train Acc: 0.2844
 Site-SynthDigits                   | Train Loss: 2.2816 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2826 | Train Acc: 0.1648
 Site-SynthDigits                   | Train Loss: 2.2735 | Train Acc: 0.1955
 Site-SVHN                          | Train Loss: 2.2861 | Train Acc: 0.0939
 Site-SVHN                          | Train Loss: 2.2789 | Train Acc: 0.1498
 Site-MNIST_M                       | Train Loss: 2.2984 | Train Acc: 0.1383
Average Train Accuracy: 0.3351
 Site-USPS                          | Val  Loss: 2.4109 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3174 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2213 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1506 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.1726 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1271 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.0949 | Val  Acc: 0.3929
 Site-USPS                          | Val  Loss: 2.0736 | Val  Acc: 0.4706
 Site-USPS                          | Val  Loss: 2.1116 | Val  Acc: 0.4098
 Site-USPS                          | Val  Loss: 2.1077 | Val  Acc: 0.4169
 Site-MNIST                         | Val  Loss: 2.1933 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1771 | Val  Acc: 0.2778
 Site-MNIST                         | Val  Loss: 2.1641 | Val  Acc: 0.3750
 Site-MNIST                         | Val  Loss: 2.1752 | Val  Acc: 0.3621
 Site-MNIST                         | Val  Loss: 2.1660 | Val  Acc: 0.4095
 Site-MNIST                         | Val  Loss: 2.1655 | Val  Acc: 0.3598
 Site-SynthDigits                   | Val  Loss: 2.2947 | Val  Acc: 0.1622
 Site-SynthDigits                   | Val  Loss: 2.3242 | Val  Acc: 0.2059
 Site-SynthDigits                   | Val  Loss: 2.2730 | Val  Acc: 0.1885
 Site-SVHN                          | Val  Loss: 2.2919 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.2879 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.2963 | Val  Acc: 0.2143
Average Valid Accuracy: 0.2476
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3929
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4706
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4098
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4169
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2778
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3750
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3621
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4095
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3598
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1622
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2059
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1885
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.2143
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 5 ============
 Site-USPS                          | Train Loss: 1.9865 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0103 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1141 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.0755 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0299 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0457 | Train Acc: 0.4762
 Site-USPS                          | Train Loss: 2.0495 | Train Acc: 0.4758
 Site-USPS                          | Train Loss: 2.0686 | Train Acc: 0.4597
 Site-USPS                          | Train Loss: 2.0471 | Train Acc: 0.4620
 Site-USPS                          | Train Loss: 2.0397 | Train Acc: 0.4830
 Site-MNIST                         | Train Loss: 2.1792 | Train Acc: 0.3000
 Site-MNIST                         | Train Loss: 2.1256 | Train Acc: 0.4722
 Site-MNIST                         | Train Loss: 2.1714 | Train Acc: 0.3256
 Site-MNIST                         | Train Loss: 2.1363 | Train Acc: 0.3734
 Site-MNIST                         | Train Loss: 2.1669 | Train Acc: 0.3214
 Site-MNIST                         | Train Loss: 2.1595 | Train Acc: 0.3069
 Site-SynthDigits                   | Train Loss: 2.2668 | Train Acc: 0.1457
 Site-SynthDigits                   | Train Loss: 2.2728 | Train Acc: 0.1722
 Site-SynthDigits                   | Train Loss: 2.2643 | Train Acc: 0.2037
 Site-SVHN                          | Train Loss: 2.2838 | Train Acc: 0.1050
 Site-SVHN                          | Train Loss: 2.2897 | Train Acc: 0.1529
 Site-MNIST_M                       | Train Loss: 2.2954 | Train Acc: 0.1454
Average Train Accuracy: 0.3506
 Site-USPS                          | Val  Loss: 2.4263 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3190 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2059 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.1204 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.1424 | Val  Acc: 0.3529
 Site-USPS                          | Val  Loss: 2.0933 | Val  Acc: 0.3548
 Site-USPS                          | Val  Loss: 2.0570 | Val  Acc: 0.4286
 Site-USPS                          | Val  Loss: 2.0339 | Val  Acc: 0.4902
 Site-USPS                          | Val  Loss: 2.0770 | Val  Acc: 0.4372
 Site-USPS                          | Val  Loss: 2.0724 | Val  Acc: 0.4350
 Site-MNIST                         | Val  Loss: 2.1793 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1572 | Val  Acc: 0.2778
 Site-MNIST                         | Val  Loss: 2.1398 | Val  Acc: 0.3750
 Site-MNIST                         | Val  Loss: 2.1516 | Val  Acc: 0.3621
